road,place,latitude,longitude,clusterid
Highdown Road,Brighton & Hove,50.832843,-0.149566,1446
Addison Road,Brighton & Hove,50.831807,-0.148397,1447
Melville Road,Brighton & Hove,50.831352,-0.14797,1448
Julian Road,Brighton & Hove,50.831141,-0.149648,1449
Granville Road,Brighton & Hove,50.831394,-0.149925,1450
Addison Road,Brighton & Hove,50.831978,-0.151607,1451
Granville Road,Brighton & Hove,50.831546,-0.151804,1452
Colbourne Road,Brighton & Hove,50.831526,-0.152432,1453
Osmond Road,Brighton & Hove,50.830832,-0.15202,1454
Davigdor Road,Brighton & Hove,50.830747,-0.150977,1455
Osmond Gardens,Brighton & Hove,50.830305,-0.152006,1456
Davigdor Road,Brighton & Hove,50.831073,-0.154781,1457
Montefiore Road,Brighton & Hove,50.831603,-0.15528,1458
Nizells Avenue,Brighton & Hove,50.830478,-0.155475,1459
York Avenue,Brighton & Hove,50.829621,-0.15238,1460
York Avenue,Brighton & Hove,50.829041,-0.153293,1461
York Avenue,Brighton & Hove,50.828184,-0.154152,1462
Furze Hill,Brighton & Hove,50.82856,-0.155525,1463
Furze Hill,Brighton & Hove,50.827719,-0.15771,1464
Sutherland Road,Brighton & Hove,50.821751,-0.1225,1465
Sutherland Road,Brighton & Hove,50.82453,-0.119603,1466
Queen's Park Rise,Brighton & Hove,50.826489,-0.121418,1467
St Luke's Terrace,Brighton & Hove,50.827728,-0.12264,1468
Down Terrace,Brighton & Hove,50.828862,-0.122434,1469
Norfolk Square,Brighton & Hove,50.824954,-0.154387,1470
Oriental Place,Brighton & Hove,50.822481,-0.153741,1471
Cavendish Place,Brighton & Hove,50.822224,-0.15282,1472
Sillwood Street,Brighton & Hove,50.823134,-0.151821,1473
Temple Street,Brighton & Hove,50.825207,-0.153428,1474
Montpelier Road,Brighton & Hove,50.825593,-0.152425,1475
Little Preston Street,Brighton & Hove,50.824427,-0.150903,1476
